"","census","d_cutoff","group","x","y","density","soiltype"
"277",1,10,"1",30,230,4.33880181902786e-06,"4"
"278",1,10,"1",50,230,4.96027593583553e-06,"3"
"279",1,10,"1",70,230,5.18678698508712e-06,"3"
"280",1,10,"1",90,230,4.73788137209731e-06,"3"
"281",1,10,"1",110,230,4.05935367251076e-06,"3"
"282",1,10,"1",130,230,3.70479427265542e-06,"3"
"283",1,10,"1",150,230,3.39652152739033e-06,"3"
"284",1,10,"1",170,230,3.95757579629541e-06,"3"
"285",1,10,"1",190,230,4.96414652403106e-06,"3"
"286",1,10,"1",210,230,4.70136698550385e-06,"3"
"287",1,10,"1",230,230,3.92546881749568e-06,"3"
"288",1,10,"1",250,230,3.81987733299421e-06,"4"
"289",1,10,"1",270,230,3.68406468742729e-06,"4"
"290",1,10,"1",290,230,3.20200640211635e-06,"4"
"291",1,10,"1",310,230,2.59757525473793e-06,"4"
"292",1,10,"1",330,230,2.16494915167166e-06,"2"
"293",1,10,"1",350,230,2.16385245596775e-06,"2"
"294",1,10,"1",370,230,2.249068667325e-06,"2"
"295",1,10,"1",390,230,2.36772726831176e-06,"4"
"296",1,10,"1",410,230,3.15666020653797e-06,"4"
"297",1,10,"1",430,230,3.93326271234584e-06,"4"
"298",1,10,"1",450,230,3.51450797412809e-06,"4"
"299",1,10,"1",470,230,3.18755787928505e-06,"2"
"300",1,10,"1",490,230,3.28689913320981e-06,"2"
"301",1,10,"1",10,250,3.25841739256502e-06,"4"
"302",1,10,"1",30,250,3.46994239797717e-06,"4"
"303",1,10,"1",50,250,3.66377451008304e-06,"4"
"304",1,10,"1",70,250,3.90761151221597e-06,"4"
"305",1,10,"1",90,250,4.00318648111296e-06,"4"
"306",1,10,"1",110,250,4.06848633848315e-06,"4"
"307",1,10,"1",130,250,4.12794843646182e-06,"4"
"308",1,10,"1",150,250,3.47494464671281e-06,"4"
"309",1,10,"1",170,250,3.40288657494686e-06,"3"
"310",1,10,"1",190,250,3.86647856487316e-06,"3"
"311",1,10,"1",210,250,3.61257748310093e-06,"4"
"312",1,10,"1",230,250,3.32549612321623e-06,"4"
"313",1,10,"1",250,250,3.56989633137003e-06,"4"
"314",1,10,"1",270,250,3.56011378290465e-06,"4"
"315",1,10,"1",290,250,3.24754013861068e-06,"4"
"316",1,10,"1",310,250,2.94374936711566e-06,"4"
"317",1,10,"1",330,250,2.54926815629335e-06,"4"
"318",1,10,"1",350,250,2.35966275008954e-06,"4"
"319",1,10,"1",370,250,2.51868489941973e-06,"2"
"320",1,10,"1",390,250,2.69659742772466e-06,"4"
"321",1,10,"1",410,250,3.02658557847717e-06,"4"
"322",1,10,"1",430,250,3.20141447171594e-06,"4"
"323",1,10,"1",450,250,2.84984828733861e-06,"4"
"324",1,10,"1",470,250,2.84071291093578e-06,"2"
"325",1,10,"1",490,250,3.27150951854375e-06,"2"
"326",1,10,"1",10,270,3.27469253474515e-06,"4"
"327",1,10,"1",30,270,3.3963211385029e-06,"4"
"328",1,10,"1",50,270,3.22676073119481e-06,"4"
"329",1,10,"1",70,270,3.25478130440762e-06,"4"
"330",1,10,"1",90,270,3.54701998512752e-06,"4"
"331",1,10,"1",110,270,3.83749914799673e-06,"4"
"332",1,10,"1",130,270,4.1191748709153e-06,"4"
"333",1,10,"1",150,270,3.59644828312395e-06,"4"
"334",1,10,"1",170,270,3.06006529156937e-06,"4"
"335",1,10,"1",190,270,2.91281756357881e-06,"4"
"336",1,10,"1",210,270,2.7657133473089e-06,"4"
"337",1,10,"1",230,270,2.8370786410499e-06,"4"
"338",1,10,"1",250,270,3.15835640940663e-06,"4"
"339",1,10,"1",270,270,3.45416781411849e-06,"4"
"340",1,10,"1",290,270,3.83884194753583e-06,"4"
"341",1,10,"1",310,270,4.10088077492872e-06,"4"
"342",1,10,"1",330,270,3.69104906623387e-06,"4"
"343",1,10,"1",350,270,3.0093678032982e-06,"4"
"344",1,10,"1",370,270,2.77593004820194e-06,"4"
"345",1,10,"1",390,270,2.70523030992159e-06,"4"
"346",1,10,"1",410,270,2.65266711032292e-06,"4"
"347",1,10,"1",430,270,2.42719080030032e-06,"4"
"348",1,10,"1",450,270,2.40073832885453e-06,"4"
"349",1,10,"1",470,270,2.88331614496875e-06,"4"
"350",1,10,"1",490,270,3.45318369007536e-06,"4"
"351",1,10,"1",10,290,3.82985588292179e-06,"3"
"352",1,10,"1",30,290,3.70045153967463e-06,"3"
"353",1,10,"1",50,290,3.25812526239972e-06,"4"
"354",1,10,"1",70,290,3.37711900593127e-06,"4"
"355",1,10,"1",90,290,3.98133315600958e-06,"3"
"356",1,10,"1",110,290,4.32919153761155e-06,"4"
"357",1,10,"1",130,290,4.58127062849302e-06,"4"
"358",1,10,"1",150,290,4.19669300226726e-06,"4"
"359",1,10,"1",170,290,3.38053283553687e-06,"4"
"360",1,10,"1",190,290,2.74680779140952e-06,"4"
"361",1,10,"1",210,290,2.59615470303423e-06,"4"
"362",1,10,"1",230,290,2.67053499560866e-06,"4"
"363",1,10,"1",250,290,2.88465711722467e-06,"4"
"364",1,10,"1",270,290,3.66018796682829e-06,"4"
"365",1,10,"1",290,290,4.84273919672622e-06,"4"
"366",1,10,"1",310,290,5.33820382436096e-06,"4"
"367",1,10,"1",330,290,4.61078921690717e-06,"4"
"368",1,10,"1",350,290,3.45987648882567e-06,"4"
"369",1,10,"1",370,290,2.89116978095149e-06,"4"
"370",1,10,"1",390,290,2.68311523217252e-06,"4"
"371",1,10,"1",410,290,2.50542467434495e-06,"4"
"372",1,10,"1",430,290,2.42544937005334e-06,"2"
"373",1,10,"1",450,290,2.93845306945617e-06,"2"
"374",1,10,"1",470,290,3.64733563296629e-06,"4"
"375",1,10,"1",490,290,3.92720313109781e-06,"4"
"376",1,10,"1",10,310,5.05366197052104e-06,"1"
"377",1,10,"1",30,310,4.20899823758723e-06,"3"
"378",1,10,"1",50,310,3.34028338309998e-06,"3"
"379",1,10,"1",70,310,3.48292050080034e-06,"3"
"380",1,10,"1",90,310,4.25424676006346e-06,"3"
"381",1,10,"1",110,310,4.78329204451502e-06,"3"
"382",1,10,"1",130,310,4.98637782390011e-06,"3"
"383",1,10,"1",150,310,4.51017614968496e-06,"4"
"384",1,10,"1",170,310,3.62142439679339e-06,"4"
"385",1,10,"1",190,310,2.95796713707419e-06,"4"
"386",1,10,"1",210,310,2.85610999397553e-06,"4"
"387",1,10,"1",230,310,2.88264236567401e-06,"4"
"388",1,10,"1",250,310,3.01621696675143e-06,"4"
"389",1,10,"1",270,310,3.69692452607043e-06,"4"
"390",1,10,"1",290,310,4.52302362863302e-06,"4"
